,energy of p orbital of B (eV),energy of p orbital of O (eV),radius of s orbital of A (A),van der Waals radius of A (A),work function (eV)
739,-39.2878420392,-3.5874479167800004,0.88,2.17,3.44666967005
741,-29.2992357144,-2.1713282736900004,0.88,2.17,5.31703862565
743,-24.6956862612,-1.08633380972,0.88,2.17,5.4573645924
745,-24.358964418000003,-0.6451192473740001,0.88,2.17,6.56473400599
747,3.8542540421,-2.04438372569,0.76,1.87,5.852812805090001
749,-33.8681930949,-2.8643786516,0.88,2.17,4.68669952878
751,0.36587903012100004,-3.8339226011400003,0.72,2.11,4.56728639352
753,6.50365360602,-0.722453817472,0.76,1.87,7.25508151978
756,5.59074928076,-0.9161057383910001,0.76,1.87,7.35995805872
757,5.59074928076,-0.9161057383910001,0.76,1.87,7.35995805872
759,-53.851883497399996,-2.75059417327,0.76,1.87,5.78850118209
761,9.058156239119999,-1.09916145693,0.76,1.87,7.259406513869999
763,-43.5547041178,-4.10684580769,0.76,1.87,3.3317516623000003
765,-39.7612071075,-4.03495387006,0.76,1.87,3.34611926612
767,-49.0038419922,-2.97233583917,0.76,1.87,5.192710996830001
769,-44.1483345462,-2.94323369166,0.76,1.87,4.75730570487
771,-36.2950489954,-3.40309869157,0.76,1.87,4.00661792627
773,-35.3630550112,-3.03328886523,0.76,1.87,5.52491966227
775,-38.9498542903,-2.59926768622,0.76,1.87,4.93489495803
777,-27.684733725300003,-0.7141695096899999,0.76,1.87,7.198499093270001
779,-31.574716280700002,-2.43213068662,0.76,1.87,5.55814548339
782,3.37170683833,-1.44747022551,0.72,2.11,5.52314972582
783,3.37170683833,-1.44747022551,0.72,2.11,5.52314972582
785,-48.7671344266,-3.1482830543299998,0.94,1.93,4.37212403148
787,-43.9748079053,-3.19025580776,0.94,1.93,4.088761856790001
789,-43.4166338633,-3.96641465481,0.94,1.93,3.2716743569099997
791,-39.7747357848,-3.8873009405000003,0.94,1.93,3.2238595802499996
793,-36.2579348015,-3.38383165244,0.94,1.93,3.68872219255
795,-39.1010377812,-3.11895107489,0.94,1.93,4.0083600037
797,-35.7586672892,-3.2207702590499996,0.94,1.93,4.43691811406
799,-32.0401357218,-2.91226785564,0.94,1.93,4.4068402434500005
801,-28.573478946799998,-1.4469709413499998,0.94,1.93,5.2564592909800005
803,-24.962603346799998,-1.36169246482,0.94,1.93,5.9002752301
805,-24.3391725023,-0.718407917001,0.94,1.93,6.76020627169
807,-33.4330659272,-2.5071035238999997,0.94,1.93,4.81150652135
809,4.9632587724,-1.06524210937,0.76,1.87,6.9402977241
811,0.357797947842,-3.5960615418199997,0.88,2.17,3.6614482425599997
813,2.30075978446,-2.09903835344,0.76,1.87,5.32047736519
